"Marca","Modelo","Ano","A Definir",Conforto,Seguranca,GastosFixos,Desempenho,Carroceria,NumLugares,NumeroDePortas,Finalidade,Combustivel,Valor,SensorDeEstacionamento,ArCondicionado,Bluetooth,Direcao,BancoCouro,GPS,VidrosEletricos,PilotoAutomatico,TetoSolar,TamPortaMala,Cacamba,ComputadorBordo,DisponibiliPeca,Airbag,ABS,Blindagem,FarolNeblina,IPVA,ConsumoGasolina,Seguro,Manutencao,Motor,CavalosForca,VelMaxima
"Chevrolet","Camaro","2018","A Definir",,,,,5,5,1,4,1,5,5,5,5,5,5,5,5,5,1,1,0,5,1,5,5,1,5,3,4,3,3,5,3,3
"Chevrolet","Cobalt","2019","A Definir",,,,,2,5,3,1,2,3,5,5,5,5,1,1,5,1,1,5,0,1,5,5,5,1,1,2,3,2,1,1,1,1
"Chevrolet","Cruze",2019,"A Definir",,,,,2,5,3,1,2,3,1,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,5,2,2,2,3,1,2,3
"Chevrolet","Equinox","2019","A Definir",,,,,3.5,5,3,1,1,4,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,5,2,2,2,2,3,3,1
"Chevrolet","Montana","2019","A Definir",,,,,4.5,2,1,2,2,3,1,5,1,3,1,1,5,1,1,0,5,5,5,5,5,1,1,1,2,2,1,1,1,1
"Chevrolet","Onix","2019","A Definir",,,,,1,5,3,1,2,3,1,5,1,5,1,1,5,1,1,3,0,1,5,5,5,1,1,1,2,1,1,1,1,1
"Chevrolet","Prisma","2019","A Definir",,,,,2,5,3,1,2,3,5,5,1,5,1,1,5,1,1,5,0,1,5,5,5,1,1,2,2,1,1,1,1,1
"Chevrolet","S10","2019","A Definir",,,,,4.5,5,3,2,2,3,5,5,5,5,1,5,5,1,1,0,5,5,3,5,5,1,5,2,3,2,2,3,2,1
"Chevrolet","Spin","2019","A Definir",,,,,3,5,3,1,2,3,1,5,5,5,1,1,5,1,1,5,0,1,3,5,5,1,1,2,3,2,2,2,2,1
"Chevrolet","Tracker","2018","A Definir",,,,,3.5,5,3,1,2,3,5,5,5,5,1,1,5,5,1,3,0,5,3,5,5,1,5,2,2,2,2,1,2,1
"Chevrolet","TrailBlazer","2019","A Definir",,,,,3.5,7,3,3,1,4,5,5,5,5,5,5,5,5,1,2,0,5,3,5,5,1,5,3,3,3,2,4,3,1
"FIAT","500",2017,"A Definir",,,,,2.5,4,1,1,2,3,1,5,5,5,1,1,5,1,5,1,0,5,3,5,5,1,1,2,2,2,2,1,1,1
"FIAT","Argo","2019","A Definir",,,,,1,5,3,1,2,3,1,5,5,5,1,1,5,1,1,3,0,5,5,5,5,1,1,1,1,2,1,1,1,1
"FIAT","Cronos","2019","A Definir",,,,,2,5,3,1,2,3,1,5,5,5,1,1,5,1,1,5,0,5,5,5,5,1,1,2,2,2,2,1,2,1
"FIAT","Doblo","2018","A Definir",,,,,1.5,5,3,1,2,3,1,5,1,3,1,1,5,1,1,5,0,5,1,5,5,1,1,2,3,2,2,2,2,1
"FIAT","Fiorino","2018","A Definir",,,,,1.5,2,1,2,2,3,5,1,1,1,1,1,5,1,1,0,5,0,5,5,5,1,1,2,3,2,2,1,1,1
"FIAT","Grand Siena Evo Attractive","2019","A Definir",,,,,2,5,3,1,2,3,1,5,1,2,1,1,5,1,1,5,0,5,5,5,5,1,1,1,2,2,1,1,1,1
"FIAT","Mobi","2019","A Definir",,,,,1,5,3,1,2,2,1,5,1,1,1,1,5,1,1,3,0,1,5,5,5,1,1,1,2,1,1,1,1,1
"FIAT","Strada Adventure","2019","A definir",,,,,4.5,5,1,2,2,3,1,5,1,5,1,1,5,1,1,0,5,5,5,5,5,1,1,1,1,2,1,1,1,1
"FIAT","Toro Endurance","2019","A Definir",,,,,4.5,5,3,2,2,3,1,5,5,5,1,1,5,5,1,0,5,5,5,5,5,1,1,2,2,2,2,2,2,1
"FIAT","Uno Attractive","2019","A Definir",,,,,1,5,3,1,2,3,1,5,1,3,1,1,5,1,1,3,0,5,5,5,5,1,1,1,1,1,1,1,1,1
"FIAT","Weekend Attractive","2019","A Definir",,,,,1.5,5,3,1,2,3,1,5,1,2,1,1,5,1,1,5,0,5,5,5,5,1,5,2,2,2,1,1,1,1
"Aston Martin","Rapide S","2016","A Definir",,,,,2,4,3,2,1,5,5,5,5,5,5,5,5,5,1,1,0,5,1,5,5,1,1,5,4,5,4,5,4,5
"Aston Martin","Vanquish","2016","A Definir",,,,,4,2,1,2,1,5,1,5,5,5,5,5,5,5,1,1,0,5,1,5,5,1,1,5,4,5,5,5,4,5
"Aston Martin","Vantage","2016","A Definir",,,,,5,2,1,2,1,5,1,5,1,3,5,5,5,1,1,3,0,5,1,5,5,1,1,3,4,4,3,4,3,3
"Audi","Q3","2018","A Definir",,,,,3.5,5,3,1,2,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,1,3,2,3,2,1,2,3
"Audi","Sportback Ambiente S Tronic","2018","A Definir",,,,,1.5,3,1,1,5,1,5,5,5,1,1,5,1,1,3,0,5,3,5,5,1,1,2,2,2,2,1,2,3
"Audi","A3 Sedan","2018","A Definir",,,,,2,5,3,1,2,5,5,5,5,5,1,5,5,1,1,5,0,5,3,5,5,1,1,2,2,2,3,1,2,3
"Audi","A4","2018","A Definir",,,,,2,5,3,1,1,5,1,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,1,2,2,3,2,3,2,3
"Audi","A1","2018","A Definir",,,,,1,4,3,1,1,5,1,5,5,5,1,1,5,1,1,3,0,5,3,5,5,1,1,2,2,3,2,1,2,3
"Audi","A5","2018","A Definir",,,,,1,4,3,1,1,5,5,5,5,5,5,5,5,5,1,4,0,1,3,5,5,1,5,2,2,3,3,3,2,3
"Audi","TT","2018","A Definir",,,,,4,4,2,1,1,5,1,5,5,5,1,5,5,5,1,3,0,5,3,5,5,1,1,3,3,3,3,3,2,3
"Audi","A4","2018","A Definir",,,,,1.5,5,3,1,1,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,1,3,2,3,3,3,2,2
"Audi","R8","2018","A Definir",,,,,4,2,1,2,1,5,5,5,5,3,1,5,5,5,1,1,0,5,1,5,5,1,1,4,4,5,4,5,4,5
"Audi","Q5","2018","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,5,3,3,3,3,3,3,3
"Audi","Q7","2018","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,1,5,5,1,1,3,3,3,3,3,3,3
"Audi","RS Q3","2018","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,1,5,5,5,5,3,0,5,1,5,5,1,5,3,3,3,3,3,3,2
"Audi","A6","2018","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,1,5,5,1,1,3,3,3,3,3,3,3
"Audi","RS6 Avant","2018","A Definir",,,,,1.5,4,3,1,1,5,5,5,5,5,1,5,5,5,5,5,0,5,1,5,5,1,5,4,3,4,4,4,4,5
"Audi","A7","2018","A Definir",,,,,2,4,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,1,1,5,1,5,3,3,3,3,4,3,3
"Audi","S3","2016","A Definir",,,,,1,5,3,1,1,5,5,5,5,5,5,5,5,5,5,3,0,5,1,5,5,1,1,2,3,3,2,3,3,3
"Audi","RS3","2018","A Definir",,,,,1,5,3,1,1,5,5,5,5,5,5,5,5,1,1,5,0,5,3,5,5,5,1,3,3,3,3,3,3,3
"Audi","A8","2017","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,3,5,5,1,1,4,3,4,3,4,3,2
"Audi","RS7","2018","A Definir",,,,,2,4,3,1,1,5,5,5,5,5,1,5,5,5,1,5,0,5,3,5,5,1,1,4,3,4,3,4,4,3
"Audi","S3 Sedan","2016","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,5,3,0,5,3,5,5,1,1,3,3,3,2,3,3,3
"Audi","SQ5","2018","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,1,5,5,1,1,5,0,5,3,5,5,1,1,3,3,3,3,3,3,3
"Audi","S8","2017","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,1,4,3,4,4,4,4,5
"Audi","S6","2016","A Definir",,,,,2,5,3,1,1,4,4,4,4,4,1,5,5,5,5,5,0,5,3,5,5,1,5,3,3,4,3,4,3,3
"Audi","S7","2016","A Definir",,,,,2,4,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,3,5,5,1,5,3,3,4,3,4,3,3
"Bentley","Continental","2016","A Definir",,,,,4,4,1,1,1,5,5,5,5,5,5,5,5,5,1,3,0,5,1,5,5,1,5,4,4,4,4,4,4,5
"Bentley","Mulsanne","2016","A Definir",,,,,2,4,3,1,1,5,5,5,5,5,5,5,5,5,1,5,0,5,1,5,5,1,5,5,5,5,5,5,4,3
"Bentley","Continental Flying Spur","2016","A Definir",,,,,2,4,3,1,1,5,5,5,5,5,5,5,5,5,1,5,0,5,1,5,5,1,1,4,4,5,5,5,4,3
"BMW","X1","2019","A Definir",,,,,3.5,5,3,1,2,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,5,3,2,3,2,3,2,3
"BMW","320i Sport","2018","A Definir",,,,,2,5,3,1,2,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,5,2,3,3,2,3,2,3
"BMW","120i","2019","A Definir",,,,,1,5,3,1,1,5,5,5,5,5,1,5,5,5,1,3,0,5,3,5,5,1,5,5,3,2,2,3,2,3
"BMW","I8","2017","A Definir",,,,,4,4,1,2,2.5,5,5,5,5,5,5,5,5,5,1,1,0,5,1,5,5,1,1,4,2,4,3,1,3,3
"BMW","X6","2018","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,3,5,5,1,5,3,3,4,3,4,3,3
"BMW","X3","2019","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,3,5,5,1,5,3,3,3,3,3,3,3
"BMW","Z4","2016","A Definir",,,,,4,2,1,2,1,5,5,5,5,5,1,5,5,1,3,1,0,5,3,5,5,1,1,3,3,3,3,3,2,2
"BMW","X5","2018","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,3,5,5,1,5,3,3,3,3,4,3,3
"BMW","530i","2018","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,3,5,5,1,5,3,3,3,3,3,3,3
"BMW","X4","2018","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,3,5,5,1,5,3,3,3,3,3,3,3
"BMW","M4","2019","A Definir",,,,,4,4,1,1,1,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,1,3,3,4,3,3,3,5
"BMW","X2","2019","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,5,5,5,1,1,3,0,5,3,5,5,1,5,3,2,3,3,3,2,3
"BMW","M3 Sedan","Ano","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,1,3,3,4,3,4,3,5
"BMW","430i","Ano","A Definir",,,,,5,4,1,1,1,5,5,5,5,5,5,5,5,5,3,3,0,5,3,5,5,1,5,3,3,3,3,3,3,3
"BMW","M5","2019","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,1,4,3,4,3,4,4,5
"BMW","M2","2019","A Definir",,,,,4,4,1,1,1,5,1,5,5,5,5,5,5,5,1,3,0,5,3,5,5,1,1,3,3,3,3,4,3,3
"Chery","QQ","2019","A Definir",,,,,1,5,1,1,2,1,1,1,1,1,1,1,5,1,1,1,0,5,3,5,5,1,1,1,2,1,3,1,1,1
"Chery","Celer","2018","A Definir",,,,,1,5,3,1,2,2,1,5,1,3,1,1,5,1,1,3,0,5,3,5,5,1,1,1,3,1,1,1,3,1
"Citroen","Aircross","2019","A Definir",,,,,1.5,5,3,1,2,3,1,5,5,5,1,1,5,1,1,5,0,5,5,5,5,1,1,2,2,2,1,2,2,1
"Citroen","C4 Lounge","2019","A Definir",,,,,2,5,3,1,2,4,1,5,5,5,1,1,5,5,1,5,0,5,5,5,5,1,5,2,2,2,1,2,2,3
"Citroen","C4 Picasso","2019","A Definir",,,,,1.5,5,3,1,1,5,5,5,5,5,1,5,5,5,1,5,0,5,5,5,5,1,5,2,3,2,1,2,2,3
"Citroen","C4 Cactus","2019","A Definir",,,,,3.5,5,3,1,2,3,1,5,5,5,1,5,5,1,1,3,0,5,5,5,5,1,1,2,2,2,1,2,2,1
"Citroen","Grand C4 Picasso","2019","A Definir",,,,,1.5,7,3,1,1,5,5,5,5,5,1,5,5,5,1,1,0,5,5,5,5,1,5,2,3,2,1,2,2,3
"Citroen","Jumpy","2019","A Definir",,,,,3,3,2,4,1,4,1,5,5,5,1,1,5,5,1,5,0,5,3,5,5,1,1,2,2,2,1,2,2,1
"Citroen","Berlingo","2019","A Definir",,,,,3,2,1,4,2,3,1,5,1,3,1,1,5,1,1,5,0,5,5,5,5,1,1,2,3,2,1,2,2,1
"Ferrari","458 Italia","2015","A Definir",,,,,4,2,1,2,1,5,5,5,5,3,5,5,5,1,1,3,0,5,1,5,5,1,1,5,5,5,4,4,4,5
"Ferrari","California","2015","A Definir",,,,,5,4,1,2,1,5,5,5,5,3,5,5,5,1,3,3,0,5,1,5,5,1,1,5,5,5,4,4,4,5
"Ferrari","FF","2016","A Definir",,,,,4,4,1,2,1,5,5,5,5,3,5,5,5,5,1,5,0,5,1,5,5,1,1,5,4,5,4,5,4,5
"Ferrari","448 GTB","Ano","A Definir",,,,,4,2,1,2,1,5,5,5,5,3,5,5,5,1,1,3,0,5,1,5,5,1,1,5,3,5,4,4,4,5
"Ford","EcoSport","2019","A Definir",,,,,3.5,5,3,1,2,3,1,5,5,5,1,1,5,1,1,3,0,5,3,5,5,1,1,2,2,2,2,1,2,1
"Ford","Ka Hatch","2019","A Definir",,,,,1,5,3,1,2,3,1,5,1,5,1,1,5,1,1,3,0,5,5,5,5,1,1,1,2,2,1,1,1,1
"Ford","New Fiesta","2019","A Definir",,,,,1,5,3,1,2,3,5,5,5,5,1,1,5,5,1,3,0,5,5,5,5,1,1,2,2,2,1,2,2,1
"Ford","Ranger","Ano","A Definir",,,,,4.5,5,3,4,2,5,5,5,5,5,1,1,5,5,1,0,5,5,3,5,5,1,5,2,3,2,2,3,2,1
"Ford","Focus","2019","A Definir",,,,,1,5,3,1,2,4,1,5,5,5,1,1,5,1,1,3,0,5,5,5,5,1,5,2,2,2,2,2,2,1
"Ford","Fusion","2018","A Definir",,,,,2,5,3,1,2,5,5,5,5,5,5,5,5,5,5,5,0,5,3,5,5,1,5,3,3,2,2,3,2,1
"Ford","Edge","2018","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,3,5,5,1,1,3,3,3,2,4,3,1
"Ford","Mustang","2018","A Definir",,,,,4,4,1,2,1,5,5,5,5,5,5,5,5,5,1,3,0,5,1,5,5,1,5,3,5,3,2,5,3,2
"Honda","Civic","2019","A Definir",,,,,2,5,3,1,2,4,5,5,5,5,1,1,5,1,1,3,0,5,3,5,5,1,5,2,3,2,2,3,2,1
"Honda","Fit","2019","A Definir",,,,,1,5,3,1,2,3,1,5,5,5,1,1,5,1,1,2,0,1,3,5,5,1,1,2,3,2,1,1,2,1
"Honda","City","2019","A Definir",,,,,2,5,3,1,2,3,1,5,5,5,1,1,5,1,1,3,0,5,3,5,5,1,1,2,3,1,1,1,2,1
"Honda","CR-V","2018","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,1,5,5,5,5,3,0,5,3,5,5,1,5,3,2,2,2,1,2,3
"Honda","WR-V","2019","A Definir",,,,,1,5,3,1,2,4,1,5,5,5,1,1,5,1,1,2,0,5,3,5,5,1,5,2,3,2,2,1,2,1
"Honda","Accord","2018","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,3,5,5,1,5,2,3,2,2,4,3,3
"Hyundai","HB20","2019","A Definir",,,,,1,5,3,1,2,3,1,5,5,3,1,1,5,1,1,3,0,5,5,5,5,1,1,1,2,2,1,1,1,1
"Hyundai","ix35","2019","A Definir",,,,,3.5,5,3,1,2,4,5,5,5,5,5,1,5,1,1,5,0,5,3,5,5,1,5,2,2,2,2,3,2,1
"Hyundai","Tucson","2019","A Definir",,,,,3.5,5,3,1,2,5,5,5,5,5,5,1,5,1,1,3,0,5,3,5,5,1,5,2,2,2,2,3,2,1
"Hyundai","HB20S","2019","A Definir",,,,,2,5,3,1,2,3,1,5,5,3,1,1,5,1,1,5,0,5,3,5,5,1,1,1,2,2,2,1,1,1
"Hyundai","Creta","2019","A Definir",,,,,3.5,5,3,1,2,4,1,5,5,5,1,1,5,1,1,5,0,5,3,5,5,1,1,2,2,1,2,2,2,1
"Hyundai","Santa Fe","2018","A Definir",,,,,3.5,5,3,1,1,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,5,3,3,2,3,4,3,1
"Hyundai","Elantra","2018","A Definir",,,,,2,5,3,1,2,4,5,5,1,5,1,1,5,1,1,5,0,5,3,5,5,1,1,2,2,2,2,3,2,1
"Hyundai","Azera","2017","A Definir",,,,,2,5,3,1,1,5,5,5,5,3,5,5,5,5,5,5,0,5,3,5,5,1,5,2,3,2,3,4,2,3
"Hyundai","HB20X","2019","A Definir",,,,,1,5,3,1,2,3,1,5,5,5,1,1,5,1,1,3,0,5,5,5,5,1,5,2,2,2,1,2,2,1
"Jaguar","XJ","2017","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,1,5,5,1,1,3,3,3,3,4,3,3
"Jaguar","F-Type","2019","A Definir",,,,,4,2,1,2,1,5,5,5,5,5,5,5,5,5,1,3,0,5,1,5,5,1,1,3,3,3,3,3,3,3
"Jaguar","XE","2018","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,1,5,5,1,1,3,3,3,3,3,2,2
"Jaguar","E-Pace","2019","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,5,3,0,5,1,5,5,1,5,3,3,3,3,3,2,3
"Jaguar","XF","2017","A Definir",,,,,2,5,3,1,1,5,5,5,5,5,5,5,5,5,5,5,0,5,1,5,5,1,1,3,3,3,3,3,2,3
"Jaguar","F-Pace","2019","A Definir",,,,,3.5,5,3,1,5,5,5,5,5,5,5,5,5,5,1,4,0,5,1,5,5,1,5,3,2,3,3,4,2,3
"Jeep","Renegade","2019","A Definir",,,,,3.5,5,3,1,2,3,1,5,1,5,1,1,5,5,1,3,0,5,3,5,5,1,1,2,2,2,2,3,2,1
"Jeep","Compass","2019","A Definir",,,,,5,5,3,1,2,5,5,5,5,5,1,1,5,5,1,5,0,5,3,5,5,1,5,2,3,2,2,3,2,1
"Jeep","Grand Cherokee","2018","A Definir",,,,,5,5,3,1,1,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,5,3,3,3,2,4,3,3
"Jeep","Cherokee","2015","A Definir",,,,,5,5,3,1,5,5,5,5,5,5,5,5,5,5,1,5,0,5,3,5,5,1,5,3,2,3,2,4,2,3
"Jeep","Wrangler","2018","A Definir",,,,,5,5,3,3,1,5,5,5,5,3,5,1,5,5,1,1,0,5,3,5,5,1,5,3,4,3,3,4,3,1
"KIA","Sportage","2019","A Definir",,,,,5,5,3,1,2,5,5,5,5,5,1,1,5,5,1,5,0,5,3,5,5,1,5,2,3,2,2,3,2,1
"KIA","Cerato","2019","A Definir",,,,,2,5,3,1,2,4,5,5,5,5,1,1,5,5,1,5,0,5,3,5,5,1,5,2,2,2,1,2,2,1
